,name,x,y,z
0,Проспект Космонавтов,1707.2077879668245,3031.5223869021975,5337.129807903892
1,Уралмаш,1707.7739189556412,3032.563205101942,5336.357338934185
2,Машиностроителей,1708.2974706541136,3033.247107616589,5335.801039758919
3,Уральская,1709.8343223852867,3034.568123882284,5334.557515999879
4,Динамо,1710.3769181464345,3035.3564462310214,5333.935042929909
5,Площадь 1905 года,1710.9358898974856,3036.092457872786,5333.336851156945
6,Геологическая,1711.1107599629959,3037.1976575098593,5332.651437732967
7,Бажовская,1710.9358898974856,3036.092457872786,5333.336851156945
8,Чкаловская,1711.574433853658,3038.881833684401,5331.543037271805
9,Ботаническая,1710.8748497390845,3040.451840885248,5330.872428766963
